subject,year,location,creator,type,attribution,icon,choice,lat,lng,popup,image,img_src,has_img,geometry
John A. Andrew House,1838,"West Boxford, MA",Porter School,mural,Lipman,school,school,42.7048388935776,-71.0533875335643,"<b>John A. Andrew House</b><br>West Boxford, MA, circa 1838<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSXB6N3NHpvrEIwkDNYAIBMfqcqrQg_pR8JjuRwtZlQ-RtzjLwZafTKwgWLFq695PT4OeSYL6JDrxyR/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSXB6N3NHpvrEIwkDNYAIBMfqcqrQg_pR8JjuRwtZlQ-RtzjLwZafTKwgWLFq695PT4OeSYL6JDrxyR/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.7048388935776, -71.0533875335643)"
Elijah Wyman House,1825,"Hancock, NH",Porter School,mural,Lefko,school,school,42.9718972641274,-71.9689448747563,"<b>Elijah Wyman House</b><br>Hancock, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSxQUbdsFXoRVds2UEVI4Sfgui35K-6LbD1o6BQ-ZAqmhICc0Uq6_8HmXwVHyVf__JGqmomqCXnZm0t/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSxQUbdsFXoRVds2UEVI4Sfgui35K-6LbD1o6BQ-ZAqmhICc0Uq6_8HmXwVHyVf__JGqmomqCXnZm0t/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.9718972641274, -71.9689448747563)"
Hezekiah Hutchins House,1840,"Rumford, ME",Jonathan D. Poor,mural,Lipman,jdp,jdp,44.5543737342321,-70.5638890851013,"<b>Hezekiah Hutchins House</b><br>Rumford, ME, circa 1840<br>Attributed to Jonathan D. Poor by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vT17c-keKb15cHciIHudwbgVgkRObLyYAq_vo3-Xc5NVwrH0dpv7vr1q-qZN46OdXGmulg7WM0QQMtA/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vT17c-keKb15cHciIHudwbgVgkRObLyYAq_vo3-Xc5NVwrH0dpv7vr1q-qZN46OdXGmulg7WM0QQMtA/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.5543737342321, -70.5638890851013)"
Deacon John Bailey House,1827,"Portland, ME",Porter School,mural,Lipman,school,school,43.6595951897436,-70.244256350717,"<b>Deacon John Bailey House</b><br>Portland, ME, circa 1827<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTFJerZe8krrDh6HMnfQ-g2RhxnGNnYOIJPDdY0lj-LdI_YzOSLYPwGkLJATgZdo0GN2KRB-kDhzYdk/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTFJerZe8krrDh6HMnfQ-g2RhxnGNnYOIJPDdY0lj-LdI_YzOSLYPwGkLJATgZdo0GN2KRB-kDhzYdk/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.6595951897436, -70.244256350717)"
Quincy Sylvester House,1830,"Townsend, MA",Porter School,mural,Lefko,school,school,42.6670763369443,-71.7026408456131,"<b>Quincy Sylvester House</b><br>Townsend, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTGuQwC9VKSkOVj2sf2SBfIEes_sadMD9Yu7jwnEIoR-7b8AFbV394ctJi6dXCFofHUovxmJ-ckh9wO/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTGuQwC9VKSkOVj2sf2SBfIEes_sadMD9Yu7jwnEIoR-7b8AFbV394ctJi6dXCFofHUovxmJ-ckh9wO/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.6670763369443, -71.7026408456131)"
Squire Craigin House,1825,"Greenfield, NH",Porter School,mural,Lipman,school,school,42.9501081878846,-71.8760066131438,"<b>Squire Craigin House</b><br>Greenfield, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTk2X5Jljk7etSCCl2IBCqgooaRojN6zSSLod43sJxlkF7Of2F3U7GIqsLLvNrDSfBT-QBcvF6ec4QN/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTk2X5Jljk7etSCCl2IBCqgooaRojN6zSSLod43sJxlkF7Of2F3U7GIqsLLvNrDSfBT-QBcvF6ec4QN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.9501081878846, -71.8760066131438)"
Haile House,1825,"Surry, NH",Porter School,mural,Lefko,school,school,43.0186222720844,-72.3231470103832,"<b>Haile House</b><br>Surry, NH, circa 1825<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTlvKDPXXiEKCf2JhX1dGXgFua7K8AXXO2Y0-ErchS7qu-x-tpF2unhS9lYq_17w1Q_E7QKchpmSViS/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTlvKDPXXiEKCf2JhX1dGXgFua7K8AXXO2Y0-ErchS7qu-x-tpF2unhS9lYq_17w1Q_E7QKchpmSViS/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.0186222720844, -72.3231470103832)"
Dr. Moses Mason House,1835,"Bethel, ME",Jonathan D. Poor,mural,tradition,jdp,jdp,44.4037842047688,-70.7995233848243,"<b>Dr. Moses Mason House</b><br>Bethel, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTUjAezgA8_4fGT5N09kIXxLcP6iYVlk5I6fNqfFDp-B3ynnDlmlSjdqAs2WXjZF2fBvNXjUSSD6zvt/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTUjAezgA8_4fGT5N09kIXxLcP6iYVlk5I6fNqfFDp-B3ynnDlmlSjdqAs2WXjZF2fBvNXjUSSD6zvt/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.4037842047688, -70.7995233848243)"
Storer Ware House,1838,"Westwood, MA",Rufus Porter and Stephen Twombly Porter,mural,tradition,rp_mural,rp,42.2101119499671,-71.2264051259201,"<b>Storer Ware House</b><br>Westwood, MA, circa 1838<br>Traditionally attributed to Rufus Porter and Stephen Twombly Porter<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTuLW_kLzKPZN-Qmz37Yf4lFZ87_r5DajKbedrGE_hrWNQ3NU4LTcHhBiDDNwTNC1lHJHqG2JECjWGx/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTuLW_kLzKPZN-Qmz37Yf4lFZ87_r5DajKbedrGE_hrWNQ3NU4LTcHhBiDDNwTNC1lHJHqG2JECjWGx/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(42.2101119499671, -71.2264051259201)"
Mason Barney House,1830,"Swansea, MA",Porter School,mural,Lefko,school,school,41.7469328272126,-71.1831891145814,"<b>Mason Barney House</b><br>Swansea, MA, circa 1830<br>Attributed to Porter School by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTwCb-LJyJBet8pOdX9FF2me-qwD3J2DJynCAjuThl9WEqsMU3jZxKF9DCzbk0kS_aWxcx5HZnRouET/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTwCb-LJyJBet8pOdX9FF2me-qwD3J2DJynCAjuThl9WEqsMU3jZxKF9DCzbk0kS_aWxcx5HZnRouET/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(41.7469328272126, -71.1831891145814)"
Captain Thomas Dodge House,1810,"Lisbon, NH",Bears and Pears Artist,mural,Lefko,other,other,44.209361742911,-71.9228189334226,"<b>Captain Thomas Dodge House</b><br>Lisbon, NH, circa 1810<br>Attributed to Bears and Pears Artist by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTXLZ20ysk-Yf5JL-ID76ts4TMkt_SUzAQlayDYKqA7m7gwOBq-0tFZd-BqnB8-Mw3LxlTlZLRygHof/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vTXLZ20ysk-Yf5JL-ID76ts4TMkt_SUzAQlayDYKqA7m7gwOBq-0tFZd-BqnB8-Mw3LxlTlZLRygHof/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.209361742911, -71.9228189334226)"
Litchfield House,1830,"Durham, ME",E.J. Gilbert,mural,Lefko,other,other,43.9758915101791,-70.1305286437776,"<b>Litchfield House</b><br>Durham, ME, circa 1830<br>Attributed to E.J. Gilbert by Linda Carter Lefko and Jane E. Radcliffe<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSAPe7IbBL9M0e90483IjZ_-XuacUjG96BGk8ontQhl5vO85TSnL0ZpHYPGAgUfmG8a7szRt3PU6Y1K/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vSAPe7IbBL9M0e90483IjZ_-XuacUjG96BGk8ontQhl5vO85TSnL0ZpHYPGAgUfmG8a7szRt3PU6Y1K/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(43.9758915101791, -70.1305286437776)"
Joshua Gilmore House,1830,"Norridgewock, ME",Quincy,mural,signed,other,other,44.7118851615143,-69.7968368728235,"<b>Joshua Gilmore House</b><br>Norridgewock, ME, circa 1830<br>Signed by Quincy<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQo1erTWy5g33KSj8Um_AE6vfJJxLVE9pTwrbyQBYopvSmH-PkbKwDwQWKyWj3lz8FYVZfxv70ihPXN/pub?w=960&h=720', width = '300'><br><small><em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",https://docs.google.com/drawings/d/e/2PACX-1vQo1erTWy5g33KSj8Um_AE6vfJJxLVE9pTwrbyQBYopvSmH-PkbKwDwQWKyWj3lz8FYVZfxv70ihPXN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,yes,"c(44.7118851615143, -69.7968368728235)"
Joshua Eaton House,1824,"Bradford, NH","Rufus Porter and Moses Eaton, Jr.",mural,tradition,rp_mural,rp,43.2726202271229,-71.9527770342654,"<b>Joshua Eaton House</b><br>Bradford, NH, circa 1824<br>Traditionally attributed to Rufus Porter and Moses Eaton, Jr.<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQ4TzQOcGCe3R4Uz3SBXMw5OrUVBW1FI7a0yUTKviTCTo7TdenzBIXx6qRSaX_2z4z3Zsluf4YE6fjT/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vQ4TzQOcGCe3R4Uz3SBXMw5OrUVBW1FI7a0yUTKviTCTo7TdenzBIXx6qRSaX_2z4z3Zsluf4YE6fjT/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(43.2726202271229, -71.9527770342654)"
Daniel Carr House,1825,"North Haverhill, NH",Porter School,mural,Lipman,school,school,44.0853552209827,-72.0149254131738,"<b>Daniel Carr House</b><br>North Haverhill, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQMz93gzU8H-0a56RNXAaYX7unjCKHDK39C8f7fgeYav6u6n561LpboDhzFonf4C8aJxMlqvGNbfZfV/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vQMz93gzU8H-0a56RNXAaYX7unjCKHDK39C8f7fgeYav6u6n561LpboDhzFonf4C8aJxMlqvGNbfZfV/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(44.0853552209827, -72.0149254131738)"
Coburn Tavern,1824,"East Peperell, MA",Porter School,mural,Lipman,school,school,42.6660153820586,-71.5609113593754,"<b>Coburn Tavern</b><br>East Peperell, MA, circa 1824<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vQVPuxZKbSv0DdDddKW_YDzT_1BXTzTU57Fyk6ZgzX4ORI3e2IdBYwUgmz7qR277jUhU--v9yN8BiRg/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vQVPuxZKbSv0DdDddKW_YDzT_1BXTzTU57Fyk6ZgzX4ORI3e2IdBYwUgmz7qR277jUhU--v9yN8BiRg/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(42.6660153820586, -71.5609113593754)"
Milton Gay House,1835,"Farmington, ME",Jonathan D. Poor and Paine,mural,tradition,jdp,jdp,44.6725894123585,-70.143737829766,"<b>Milton Gay House</b><br>Farmington, ME, circa 1835<br>Traditionally attributed to Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vR6XnPBYpSBnopNB-H-D7oM2qWQU3B4KfOphXhstlTelPf64128hvWVl66gNI4Irs_qFOVh9jyK03Lj/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vR6XnPBYpSBnopNB-H-D7oM2qWQU3B4KfOphXhstlTelPf64128hvWVl66gNI4Irs_qFOVh9jyK03Lj/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(44.6725894123585, -70.143737829766)"
Ellerton Jette House,1824,"Sebec, ME","Rufus Porter and Moses Eaton, Jr.",mural,Lipman,rp_mural,rp,45.2728392047315,-69.1134810690752,"<b>Ellerton Jette House</b><br>Sebec, ME, circa 1824<br>Attributed to Rufus Porter and Moses Eaton, Jr. by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRCqGdhI9N6ufpXQX0WGHzKBYanLbP-Qw0mnLmFaqvYtrc1HTdL_BRUAyRPKrJPLICjy949rnAwom_A/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRCqGdhI9N6ufpXQX0WGHzKBYanLbP-Qw0mnLmFaqvYtrc1HTdL_BRUAyRPKrJPLICjy949rnAwom_A/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(45.2728392047315, -69.1134810690752)"
Van Heusen Seventeenth-Century Farms,1835,"North Reading, MA",Porter School,mural,Lipman,school,school,42.5737213401875,-71.0709727999647,"<b>Van Heusen Seventeenth-Century Farms</b><br>North Reading, MA, circa 1835<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRFgfu2ty75FVWz0GaKybF-rp4gCP3-G_B03Zrb0unaj9NkFhoHLoCZxhmC0GLNEdEGF-cGGR4UbZcx/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRFgfu2ty75FVWz0GaKybF-rp4gCP3-G_B03Zrb0unaj9NkFhoHLoCZxhmC0GLNEdEGF-cGGR4UbZcx/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(42.5737213401875, -71.0709727999647)"
Faith Gardner House,1830,"Lunenburg, MA",Porter School,mural,Lipman,school,school,42.5954404622511,-71.7226075418264,"<b>Faith Gardner House</b><br>Lunenburg, MA, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRhtt2BQugwGn7NJM8MiwdWL1kdsXvqmX8E_Y0wx9Dnj7T2s2vrTRyJvq-gpsWMxSMia8nde0XKrJa6/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRhtt2BQugwGn7NJM8MiwdWL1kdsXvqmX8E_Y0wx9Dnj7T2s2vrTRyJvq-gpsWMxSMia8nde0XKrJa6/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(42.5954404622511, -71.7226075418264)"
Fruitlands Museums,1830,"Harvard, MA",Porter School,mural,Fruitlands Museums,school,school,42.504196801427,-71.59091179182,"<b>Fruitlands Museums</b><br>Harvard, MA, circa 1830<br>Attributed to  Porter School<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRIt-StjtpveEJ-7qVTEmcwf6KGpVXVmSIjc6E9kv5XwB7YqqCF_oHF-rIb-YVXM0uKAHH8fbffFjXZ/pub?w=960&h=720', width = '300'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRIt-StjtpveEJ-7qVTEmcwf6KGpVXVmSIjc6E9kv5XwB7YqqCF_oHF-rIb-YVXM0uKAHH8fbffFjXZ/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(42.504196801427, -71.59091179182)"
Elwin Chase House,1831,"Topsham, VT",Porter School,mural,Lipman,school,school,44.1304539343577,-72.2466667029496,"<b>Elwin Chase House</b><br>Topsham, VT, circa 1831<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRqdEt7hB-JMV5q-a-Mj0CA2JaBgM2Tyqrwlr8x8rZSjR87UFhWuIQRzm-DjzTLPnrC8V9QqdM1uTZQ/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRqdEt7hB-JMV5q-a-Mj0CA2JaBgM2Tyqrwlr8x8rZSjR87UFhWuIQRzm-DjzTLPnrC8V9QqdM1uTZQ/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(44.1304539343577, -72.2466667029496)"
Cushman Tavern,1830,"Webster Corner, ME",Orison Wood,mural,Lipman,other,other,44.0592502743797,-70.0913111471084,"<b>Cushman Tavern</b><br>Webster Corner, ME, circa 1830<br>Attributed to Orison Wood by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vRtbCh1v2g9RqI3XN60HsSEqpYKEkTjrWx0Fs-W8AbWopU7__mfuA7H2bSmR93kPHj-_FAbGRkms18O/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vRtbCh1v2g9RqI3XN60HsSEqpYKEkTjrWx0Fs-W8AbWopU7__mfuA7H2bSmR93kPHj-_FAbGRkms18O/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(44.0592502743797, -70.0913111471084)"
Josiah Stone House,1825,"Hancock, NH",Porter School,mural,Lipman,school,school,42.9710110377181,-71.9709260996793,"<b>Josiah Stone House</b><br>Hancock, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vS8cFtj8Kbeo2EF2UY0tFhCkkQu_hxOHd1CtSp5AbZ6Z_-tqn3yRzvQAFZSjcPyr4pHOGTCbozxwT59/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vS8cFtj8Kbeo2EF2UY0tFhCkkQu_hxOHd1CtSp5AbZ6Z_-tqn3yRzvQAFZSjcPyr4pHOGTCbozxwT59/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(42.9710110377181, -71.9709260996793)"
Captain Samuel Benjamin House,1830,"Winthrop, ME",Porter School,mural,MSM,school,school,44.3077770593101,-69.9798406271586,"<b>Captain Samuel Benjamin House</b><br>Winthrop, ME, circa 1830<br>Attributed to  Porter School<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSFidbgYNfvoip9GJN7TeLSg6d9ssE9dsMqL5SO2XnBaXJe4tA9b3tlnN3mNBfslBdONZlQolQS_okB/pub?w=960&h=720', width = '300'><br><small>Image from <em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vSFidbgYNfvoip9GJN7TeLSg6d9ssE9dsMqL5SO2XnBaXJe4tA9b3tlnN3mNBfslBdONZlQolQS_okB/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(44.3077770593101, -69.9798406271586)"
Frederick Wagner House,1825,"Lyme, NH",Porter School,mural,Lipman,school,school,43.8055859162519,-72.1545921515297,"<b>Frederick Wagner House</b><br>Lyme, NH, circa 1825<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSJiyt3vLXg1faJuY5GDjq6C-RQdAP4nMlFV5unrJC60Y33AxvAL2FvngkrHpBUxS3XI-A06z9hdpug/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vSJiyt3vLXg1faJuY5GDjq6C-RQdAP4nMlFV5unrJC60Y33AxvAL2FvngkrHpBUxS3XI-A06z9hdpug/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(43.8055859162519, -72.1545921515297)"
Quillcote,1830,"Hollis Center, ME",Porter School,mural,Lipman,school,school,43.6385760594825,-70.6076687521326,"<b>Quillcote</b><br>Hollis Center, ME, circa 1830<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSOTbZt8SM3ibcBoj9vOy2c8shZxnU43X-u-erj1VBC-krrKdO5mxb9WEhF7ivqnRlOmx4qO5U_rQf1/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vSOTbZt8SM3ibcBoj9vOy2c8shZxnU43X-u-erj1VBC-krrKdO5mxb9WEhF7ivqnRlOmx4qO5U_rQf1/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(43.6385760594825, -70.6076687521326)"
Curtis M. Sweat House,1830,"North Parsonfield, ME",Jonathan D. Poor and Paine,mural,signed,jdp,jdp,43.7556145248143,-70.9337630042846,"<b>Curtis M. Sweat House</b><br>North Parsonfield, ME, circa 1830<br>Signed by Jonathan D. Poor and Paine<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSrg7rgEhMR1bB8PmqRtlmqnsi5FdJwmaBmNZPs-iJ5MXO7lgQJ_Q2lfXEOfbGdqV3xHgjq_Nz0ey0P/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vSrg7rgEhMR1bB8PmqRtlmqnsi5FdJwmaBmNZPs-iJ5MXO7lgQJ_Q2lfXEOfbGdqV3xHgjq_Nz0ey0P/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(43.7556145248143, -70.9337630042846)"
Senigo House,1845,"East Weymouth, MA",Porter School,mural,Lipman,school,school,42.2157145125374,-70.9406546441234,"<b>Senigo House</b><br>East Weymouth, MA, circa 1845<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vStAc6UsFxc227lT2G80IYrqqQWcX-afSUZenGljxhRFU2OuG6bgl7nwxKpWwm7WhO06IkZVJGKVjgY/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vStAc6UsFxc227lT2G80IYrqqQWcX-afSUZenGljxhRFU2OuG6bgl7nwxKpWwm7WhO06IkZVJGKVjgY/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(42.2157145125374, -70.9406546441234)"
Bidwell Tavern,1824,"Langdon, NH",Porter School,mural,Lipman,school,school,43.1646788348214,-72.371971477812,"<b>Bidwell Tavern</b><br>Langdon, NH, circa 1824<br>Attributed to Porter School by Jean Lipman<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vTFCJCPFX_85YA9yz9wlz9GLScvXw98cBo8aM_8mO37Yo9VYKfR8aMU8y16yS_LsahPmkBNfDrMRQW2/pub?w=960&h=720', width = '300'><br><small><em>Rufus Porter: Rediscovered</em> by Jean Lipman</small>",https://docs.google.com/drawings/d/e/2PACX-1vTFCJCPFX_85YA9yz9wlz9GLScvXw98cBo8aM_8mO37Yo9VYKfR8aMU8y16yS_LsahPmkBNfDrMRQW2/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,yes,"c(43.1646788348214, -72.371971477812)"
